image_path,image_stem,lighting_id,person_id,hand,hand_side,split,reference_object,correction_method,denomination,banknote_side,cc_de_mean_before,cc_de_median_before,cc_de_trimean_before,cc_de_p95_before,cc_de_max_before,cc_de_best25_before,cc_de_worst25_before,cc_de_mean_after,cc_de_median_after,cc_de_trimean_after,cc_de_p95_after,cc_de_max_after,cc_de_best25_after,cc_de_worst25_after,bn_de_mean_before,bn_de_median_before,bn_de_trimean_before,bn_de_p95_before,bn_de_max_before,bn_de_best25_before,bn_de_worst25_before,bn_de_mean_after,bn_de_median_after,bn_de_trimean_after,bn_de_p95_after,bn_de_max_after,bn_de_best25_after,bn_de_worst25_after,bn_n_samples,bn_confidence,bn_reproj_rmse,L_median_before,a_median_before,b_median_before,ITA_before,chardon_before,L_median_after,a_median_after,b_median_after,ITA_after,chardon_after,skin_measured,success,failure_reason
IMG_3928.jpeg,IMG_3928,L1,1,left,palm,train,none,shades_of_gray,100,single_number,9.747905300449387,10.48316492985933,10.091381787193509,13.774116564869614,15.369226247151513,5.413138615636602,13.08197823746611,6.933321402553394,6.825076581026021,6.836191048155808,10.978801024092466,11.835054883631017,3.77824417691947,10.510094729086374,17.148081217031965,16.056852707154587,16.49855414446401,24.954254072419506,35.99307434075257,13.289628282552258,22.706021873651842,8.375735143586517,8.187411704569937,8.123448143024488,13.33169069991385,24.245486984006078,5.528339946727673,11.678502926600526,380,0.5070967741935484,2282.5983301621254,53.3447265625,14.890625,19.5,9.732914466245687,Brown,68.280029296875,17.109375,19.46875,43.196334268911826,Light,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,none,baseline,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,,,,,,,,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,,,,,,,,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,,,,,,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,colorchecker,linear,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,6.282310470790339,6.507062499741625,6.233012875815044,11.607231251190004,12.386047767842214,2.3719580556482787,10.770305454791542,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,10.271557250317567,10.110895633336115,9.975081994435204,16.70253113931007,28.201461272436344,6.550084550476013,14.691713259574465,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,61.480712890625,17.5,22.484375,27.04924259919495,Tan,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,banknote,linear,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,16.18547522802648,12.65201945862626,13.332221144035378,41.65740961423881,47.389438538644434,6.619610106909849,32.31163298591685,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,3.398803719304716,2.832039113895453,2.946579619062857,7.969083428312277,19.698897722555103,1.3020114989856684,6.581826994998739,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,54.949951171875,28.4375,5.625,41.347496921374045,Light,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,colorchecker,affine,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,4.530888555414857,3.2486287227095643,3.517624272750973,11.41124492596732,14.214660061838623,1.689661563847103,9.397652687339521,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,8.94186502578421,8.556134740357573,8.773787151965614,12.644516686749228,23.427356582299566,5.758477977330577,12.457919020706212,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,63.031005859375,16.328125,21.96875,30.674765361718205,Intermediate,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,banknote,affine,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,21.6333671582256,16.629958877901664,19.8388515783492,43.005850612050445,44.00284337823885,9.498005794046666,39.6110703163718,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,2.6505826643210404,1.9775221327632906,2.0758674676956415,7.0036279634538054,16.961373228942026,0.8377514334501904,5.688142118324942,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,78.826904296875,-0.375,16.671875,59.95730423003617,Very Light,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,colorchecker,poly2,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,2.7578800753744446,2.008176444153966,2.211414920211725,5.995968908431489,8.74655254848595,0.9741443752657922,5.427539481094151,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,8.518350129456953,8.304613048107836,8.31875966241373,12.104192715273745,22.698228419924764,5.88062552294254,11.538580787605506,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,63.555908203125,16.140625,21.40625,32.3448005438377,Intermediate,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,banknote,poly2,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,23.39121158192482,19.83762061048842,21.615162410150276,42.13844336477658,59.674916094051746,10.66869845288803,40.90708206509611,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,2.3467152878599933,1.725964100301445,1.847636008429109,5.985983226502166,17.030619384595383,0.7394260840104335,5.12160982790038,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,83.380126953125,-4.875,35.203125,43.477390583941904,Light,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,colorchecker,poly3_cheung,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,2.1721218876724233,1.830560440320591,1.9768783358160134,4.9541828144420315,5.928858214746808,0.7690549590007766,4.0809760251798535,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,8.988843433281911,8.528853233806213,8.78431903401351,12.565877039952953,21.732956052237494,6.519473009651608,12.113637790381995,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,64.44091796875,15.5625,19.78125,36.130588181316874,Intermediate,True,True,
IMG_3927.jpeg,IMG_3927,L1,1,left,dorsal,train,banknote,poly3_cheung,100,single_number,9.497456154511243,10.166638407334599,9.869674098422372,13.313539698402792,15.602830239009318,5.1456528471633325,12.80676871063069,21.66426505096923,19.136101712749316,20.939243043937108,35.955615318837665,54.99049962776362,10.279300268600322,36.58410696862496,15.60298842575634,14.491516093793638,14.882040349440262,22.79896949352222,32.728504519460685,12.4684678137204,20.527787039047446,2.2932835692562024,1.6655326339642187,1.7956993939277162,5.860050732322323,17.042256268317512,0.6930653191700218,5.013558291276436,380,0.550375939849624,2021.0819271672985,53.570556640625,16.671875,21.609375,9.382315618998707,Brown,84.5703125,-3.8125,33.3125,46.06152204186022,Light,True,True,
